Date,Time,Object,Confidence
2026-07-09,01:37:25,person,0.82
2026-07-09,01:37:25,chair,0.62
2026-07-09,01:37:25,chair,0.59
2026-07-09,01:37:29,person,0.92
2026-07-09,01:37:29,chair,0.79
2026-07-09,01:37:29,chair,0.29
2026-07-09,01:37:30,person,0.89
2026-07-09,01:37:30,chair,0.83
2026-07-09,01:37:30,chair,0.32
2026-07-09,01:37:30,person,0.91
2026-07-09,01:37:30,chair,0.83
2026-07-09,01:37:30,person,0.91
2026-07-09,01:37:30,chair,0.82
2026-07-09,01:37:30,person,0.9
2026-07-09,01:37:30,chair,0.83
2026-07-09,01:37:30,chair,0.27
2026-07-09,01:37:31,person,0.9
2026-07-09,01:37:31,chair,0.82
2026-07-09,01:37:31,person,0.9
2026-07-09,01:37:31,chair,0.82
2026-07-09,01:37:31,person,0.89
2026-07-09,01:37:31,chair,0.82
2026-07-09,01:37:31,person,0.89
2026-07-09,01:37:31,chair,0.83
2026-07-09,01:37:31,chair,0.34
2026-07-09,01:37:31,person,0.9
2026-07-09,01:37:31,chair,0.84
2026-07-09,01:37:31,person,0.93
2026-07-09,01:37:31,chair,0.8
2026-07-09,01:37:31,person,0.93
2026-07-09,01:37:31,chair,0.8
2026-07-09,01:37:32,person,0.93
2026-07-09,01:37:32,chair,0.8
2026-07-09,01:37:32,person,0.93
2026-07-09,01:37:32,chair,0.84
2026-07-09,01:37:32,person,0.93
2026-07-09,01:37:32,chair,0.82
2026-07-09,01:37:32,person,0.93
2026-07-09,01:37:32,chair,0.84
2026-07-09,01:37:32,person,0.93
2026-07-09,01:37:32,chair,0.83
2026-07-09,01:37:32,person,0.93
2026-07-09,01:37:32,chair,0.83
2026-07-09,01:37:32,person,0.93
2026-07-09,01:37:32,chair,0.84
2026-07-09,01:44:52,person,0.9
2026-07-09,01:44:52,chair,0.71
2026-07-09,01:44:56,person,0.91
2026-07-09,01:44:56,chair,0.7
2026-07-09,01:44:59,person,0.9
2026-07-09,01:44:59,chair,0.71
2026-07-09,01:45:02,person,0.84
2026-07-09,01:45:02,chair,0.71
2026-07-09,01:45:05,cat,0.37
2026-07-09,01:45:06,couch,0.31
2026-07-09,01:45:06,chair,0.26
2026-07-09,01:45:06,person,0.43
2026-07-09,01:45:07,bed,0.29
2026-07-09,01:45:09,chair,0.62
2026-07-09,01:45:10,suitcase,0.25
2026-07-09,01:45:10,person,0.63
2026-07-09,01:45:11,dog,0.34
2026-07-09,01:45:11,cat,0.28
2026-07-09,01:45:13,chair,0.47
2026-07-09,01:45:13,bed,0.29
2026-07-09,01:45:13,person,0.27
2026-07-09,01:45:16,chair,0.6
2026-07-09,01:45:16,bed,0.47
2026-07-09,01:45:17,person,0.51
2026-07-09,01:45:19,chair,0.64
2026-07-09,01:45:20,person,0.81
2026-07-09,01:45:21,dining table,0.27
2026-07-09,01:45:22,chair,0.79
2026-07-09,01:45:23,person,0.96
2026-07-09,01:45:25,cat,0.63
2026-07-09,01:45:25,chair,0.42
2026-07-09,01:45:26,person,0.94
2026-07-09,01:45:29,person,0.91
2026-07-09,02:14:46,person,0.9
2026-07-09,02:14:46,chair,0.47
2026-07-09,02:14:50,chair,0.78
2026-07-09,02:14:50,person,0.66
2026-07-09,02:14:50,cat,0.57
2026-07-09,02:14:53,chair,0.8
2026-07-09,02:14:53,person,0.59
2026-07-09,02:14:53,cat,0.44
2026-07-09,02:14:56,chair,0.81
2026-07-09,02:14:56,person,0.7
2026-07-09,02:14:56,cat,0.26
2026-07-09,02:14:59,chair,0.86
2026-07-09,02:14:59,cat,0.59
2026-07-09,02:14:59,person,0.28
2026-07-09,02:15:02,chair,0.83
2026-07-09,02:15:02,person,0.9
2026-07-09,02:15:03,cat,0.5
2026-07-09,02:15:05,chair,0.78
2026-07-09,02:15:05,person,0.81
2026-07-09,02:15:08,chair,0.79
2026-07-09,02:15:08,person,0.73
2026-07-09,02:15:11,chair,0.76
2026-07-09,02:15:11,person,0.6
2026-07-09,02:15:14,chair,0.79
2026-07-09,02:15:14,person,0.46
2026-07-09,02:15:15,cat,0.27
2026-07-09,02:15:17,chair,0.74
2026-07-09,02:15:17,person,0.42
2026-07-09,02:15:19,cat,0.38
2026-07-09,02:15:20,chair,0.72
2026-07-09,02:15:20,person,0.44
2026-07-09,02:15:22,cat,0.29
2026-07-09,02:15:23,chair,0.78
2026-07-09,02:15:23,person,0.51
2026-07-09,02:15:25,cat,0.26
2026-07-09,02:15:26,chair,0.81
2026-07-09,02:15:26,person,0.47
2026-07-09,02:15:29,chair,0.79
2026-07-09,02:15:29,person,0.52
2026-07-09,02:15:29,cat,0.43
2026-07-09,02:15:32,chair,0.81
2026-07-09,02:15:32,person,0.55
2026-07-09,02:15:32,cat,0.28
2026-07-09,02:15:35,chair,0.79
2026-07-09,02:15:35,person,0.74
2026-07-09,02:15:36,cat,0.29
2026-07-09,02:15:38,chair,0.81
2026-07-09,02:15:38,person,0.69
2026-07-09,02:15:41,person,0.81
2026-07-09,02:15:41,chair,0.77
2026-07-09,02:15:44,person,0.87
2026-07-09,02:15:44,chair,0.81
